title,budget,genres,original_language,popularity,production_companies,production_countries,release_date,revenue,vote_average,vote_count,director
Reign of Fire,60000000,"['Adventure', 'Action', 'Fantasy']",en,27.615108,"['The Zanuck Company', 'Spyglass Entertainment', 'World 2000 Entertainment', 'Touchstone Pictures', 'Tripod Entertainment']","['Ireland', 'United Kingdom', 'United States of America']",2002-07-12,43061982,6.0,669,Rob Bowman
Gangster Squad,60000000,"['Crime', 'Drama', 'Action', 'Thriller']",en,29.041198,"['Village Roadshow Pictures', 'Lin Pictures', 'Warner Bros.', 'Langley Park Production']",['United States of America'],2013-01-10,105200903,6.2,1778,Ruben Fleischer
Year One,60000000,"['Comedy', 'Adventure']",en,25.293538,"['Columbia Pictures', 'Ocean Pictures', 'Apatow Productions']",['United States of America'],2009-06-18,62357900,4.6,524,Harold Ramis
Invictus,60000000,"['Drama', 'History']",en,23.85119,"['Spyglass Entertainment', 'Malpaso Productions', 'Revelations Entertainment', 'Mace Neufeld Productions', 'Warner Bros.', 'Liberty Pictures (II)']",['United States of America'],2009-12-10,122233971,7.0,1125,Clint Eastwood
State of Play,60000000,['Action'],en,21.685719,"['Universal Pictures', 'StudioCanal', 'Andell Entertainment', 'Relativity Media', 'Working Title Films']","['France', 'United Kingdom', 'United States of America']",2009-04-17,87784194,6.7,484,Kevin Macdonald
Duplicity,78146652,"['Romance', 'Comedy', 'Crime']",en,13.630049,"['Universal Pictures', 'Laura Bickford Productions', 'Relativity Media', 'Medienproduktion Poseidon Filmgesellschaft']","['Germany', 'United States of America']",2009-03-19,60000000,5.7,201,Tony Gilroy
My Favorite Martian,65000000,"['Comedy', 'Drama', 'Family', 'Science Fiction']",en,6.80692,['Walt Disney Pictures'],['United States of America'],1999-02-11,36850101,5.1,80,Donald Petrie
The Sentinel,60000000,"['Action', 'Thriller', 'Crime']",en,15.352807,"['Twentieth Century Fox Film Corporation', 'Dune Entertainment', 'Major Studio Partners', 'Regency Enterprises', 'Epsilon Motion Pictures', 'New Regency Pictures', 'Sentinel Productions', 'Furthur Films']",['United States of America'],2006-04-19,77920346,5.8,225,Clark Johnson
Planet 51,70000000,"['Science Fiction', 'Animation', 'Family', 'Comedy', 'Adventure']",en,23.661071,"['TriStar Pictures', 'Ilion Animation Studios', 'Hand Made Films']","['Spain', 'United Kingdom', 'United States of America']",2009-11-19,104945765,5.6,556,Jorge Blanco
Star Trek: Nemesis,60000000,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",en,21.605533,['Paramount Pictures'],['United States of America'],2002-12-13,67312826,6.1,479,Stuart Baird
Intolerable Cruelty,60000000,"['Crime', 'Comedy', 'Romance']",en,22.620125,"['Imagine Entertainment', 'Universal Pictures', 'Mike Zoss Productions', 'Alphaville Productions']",['United States of America'],2003-09-02,119940815,5.8,391,Joel Coen
Edge of Darkness,80000000,"['Crime', 'Drama', 'Mystery', 'Thriller']",en,24.657931,"['Icon Productions', 'BBC Films', 'GK Films', 'Warner Bros.']","['United Kingdom', 'United States of America']",2010-01-29,74901339,6.2,487,Martin Campbell
The Relic,60000000,"['Horror', 'Mystery', 'Thriller']",en,12.621769,"['Paramount Pictures', 'Universal Pictures', 'Toho-Towa', 'Mutual Film Company', 'Pacific Western', 'PolyGram Filmed Entertainment', 'Marubeni', 'Tele München Fernseh Produktionsgesellschaft (TMG)', 'British Broadcasting Corporation (BBC)']","['Germany', 'Japan', 'New Zealand', 'United Kingdom', 'United States of America']",1997-01-10,33956608,5.8,130,Peter Hyams
Analyze That,60000000,"['Comedy', 'Crime']",en,21.08952,"['Village Roadshow Pictures', 'NPV Entertainment', 'Warner Bros.', 'Tribeca Productions', 'Baltimore Spring Creek Pictures', 'Face Productions']","['Australia', 'United States of America']",2002-12-06,55003135,5.7,380,Harold Ramis
Righteous Kill,60000000,"['Action', 'Crime', 'Drama', 'Thriller']",en,18.380176,"['Grosvenor Park Media Ltd.', 'InVenture Entertainment', 'Millennium Films', 'Emmett/Furla Films', 'Nu-Image Films']",['United States of America'],2008-09-11,73174566,5.9,375,Jon Avnet
The Soloist,60000000,['Drama'],en,17.299333,"['DreamWorks', 'Universal Pictures', 'StudioCanal', 'Participant Media', 'Krasnoff Foster Productions', 'Working Title Films']",['United States of America'],2009-04-24,31720158,6.6,234,Joe Wright
The Legend of Bagger Vance,80000000,"['Fantasy', 'Drama']",en,16.848899,"['DreamWorks SKG', 'Twentieth Century Fox Film Corporation', 'Wildwood Enterprises', 'Epsilon Motion Pictures', 'Allied Filmmakers']",['United States of America'],2000-11-02,39459427,6.3,251,Robert Redford
Almost Famous,60000000,"['Drama', 'Music']",en,21.547446,"['Columbia Pictures', 'Vinyl Films', 'DreamWorks Pictures']",['United States of America'],2000-09-15,47383689,7.4,797,Cameron Crowe
xXx: State of the Union,60000000,"['Action', 'Adventure', 'Crime', 'Drama', 'Mystery', 'Thriller']",en,36.689223,"['Original Film', 'Columbia Pictures Corporation', 'Revolution Studios']",['United States of America'],2005-04-27,71073932,4.7,549,Lee Tamahori
Priest,60000000,"['Action', 'Science Fiction', 'Fantasy', 'Thriller', 'Horror']",en,28.350927,"['Screen Gems', 'Stars Road Entertainment', 'Buckaroo Entertainment', 'Michael De Luca Productions', 'TOKYOPOP']",['United States of America'],2011-05-05,78309131,5.4,692,Scott Stewart
Sinbad: Legend of the Seven Seas,60000000,"['Family', 'Animation', 'Adventure']",en,18.815442,['DreamWorks Animation'],['United States of America'],2003-07-02,26288320,6.6,372,Tim Johnson
Event Horizon,60000000,"['Horror', 'Science Fiction', 'Mystery']",en,29.787135,"['Paramount Pictures', 'Impact Pictures', 'Golar Productions']","['United Kingdom', 'United States of America']",1997-08-15,26673242,6.5,742,Paul W.S. Anderson
Dragonfly,60000000,['Drama'],en,8.927137,"['Universal Pictures', 'Spyglass Entertainment', 'Shady Acres Entertainment', 'Gran Via Productions', 'Kalima Productions GmbH & Co. KG', 'NDE Productions']","['Germany', 'United States of America']",2002-02-22,52322400,6.1,204,Tom Shadyac
The Black Dahlia,50000000,['Drama'],en,15.213484,"['Universal Pictures', 'Davis-Films', 'Signature Pictures', 'Linson Entertainment', 'Art Linson Productions', 'Millennium Films', 'Equity Pictures Medienfonds GmbH & Co. KG III', 'Nu Image Entertainment GmbH']","['France', 'Germany', 'United States of America']",2006-09-15,49111202,5.7,287,Brian De Palma
Flyboys,60000000,"['Action', 'Adventure', 'Drama', 'History', 'Romance', 'War']",en,13.155999,"['Ingenious Film Partners', 'Electric Entertainment', 'Skydance Productions', 'Flyboys Films']","['United Kingdom', 'United States of America']",2006-09-22,17800000,6.3,271,Tony Bill
The Last Castle,72000000,"['Action', 'Drama', 'Thriller']",en,15.433244,['DreamWorks SKG'],['United States of America'],2001-10-19,27642707,7.0,285,Rod Lurie
Supernova,90000000,"['Horror', 'Science Fiction', 'Thriller']",en,5.762037,"['United Artists', 'Metro-Goldwyn-Mayer (MGM)', 'Hammerhead Productions', 'Screenland Pictures']","['Switzerland', 'United States of America']",2000-01-14,14828081,4.9,109,Walter Hill
Winter's Tale,60000000,"['Drama', 'Fantasy', 'Mystery', 'Romance']",en,22.736038,"['Village Roadshow Pictures', 'Weed Road Pictures', 'Warner Bros.']",['United States of America'],2014-02-13,30800231,6.0,487,Akiva Goldsman
The Mortal Instruments: City of Bones,60000000,"['Action', 'Adventure', 'Drama', 'Mystery', 'Romance', 'Fantasy']",en,45.514031,"['Constantin Film Produktion', 'Don Carmody Productions', 'Unique Features', 'Mr. Smith Productions']",['United States of America'],2013-08-21,90565421,6.2,1602,Harald Zwart
Meet Dave,60000000,"['Comedy', 'Science Fiction', 'Adventure', 'Family']",en,18.676291,"['Twentieth Century Fox Film Corporation', 'Dune Entertainment', 'Regency Enterprises', 'Guy Walks into a Bar Productions', 'Deep River Productions', 'Friendly Films (II)']",['United States of America'],2008-07-08,50650079,5.0,371,Brian Robbins
Dark Water,30000000,"['Drama', 'Horror', 'Thriller']",en,14.376463,"['Vertigo Entertainment', 'Touchstone Pictures', 'Post No Bills Films', 'Pandemonium Productions']",['United States of America'],2005-06-27,25473093,5.3,274,Walter Salles
Inkheart,60000000,"['Adventure', 'Family', 'Fantasy']",en,27.018886,"['New Line Cinema', 'Internationale Filmproduktion Blackbird Erste']","['Germany', 'United Kingdom', 'United States of America']",2008-12-11,57490374,6.0,592,Iain Softley
The Spirit,60000000,"['Action', 'Comedy', 'Thriller', 'Crime', 'Science Fiction']",en,14.84856,"['DC Comics', 'Lionsgate', 'Odd Lot Entertainment', 'Media Magik Entertainment', 'Dark Lot Entertainment', 'Continental Entertainment Group (CEG)']",['United States of America'],2008-12-25,39031337,4.7,320,Frank Miller
Mortdecai,60000000,"['Comedy', 'Adventure']",en,52.417529,"['Lionsgate', 'Mad Chance', 'OddLot Entertainment', 'Huayi Brothers Media']",['United States of America'],2015-01-21,30418560,5.4,1055,David Koepp
The Monkey King 2,68490000,"['Action', 'Adventure', 'Fantasy']",zh,4.72629,['Filmko Pictures'],"['Hong Kong', 'China']",2016-01-22,193677158,6.0,24,Soi Cheang
The Great Raid,80000000,"['Action', 'History', 'War']",en,8.923215,"['Lawrence Bender Productions', 'Marty Katz Productions']",['United States of America'],2005-08-12,10166502,6.8,91,John Dahl
Deadpool,58000000,"['Action', 'Adventure', 'Comedy']",en,514.569956,"['Twentieth Century Fox Film Corporation', 'Marvel Entertainment', ""The Donners' Company"", 'TSG Entertainment', 'Kinberg Genre']",['United States of America'],2016-02-09,783112979,7.4,10995,Tim Miller
American Sniper,58800000,"['War', 'Action']",en,87.53437,"['Village Roadshow Pictures', 'Malpaso Productions', 'Warner Bros.', 'RatPac-Dune Entertainment', 'Mad Chance Productions', '22 & Indiana Pictures']",['United States of America'],2014-12-11,542307423,7.4,4469,Clint Eastwood
Goosebumps,58000000,"['Adventure', 'Horror', 'Comedy']",en,45.351617,"['Columbia Pictures', 'Village Roadshow Pictures', 'Original Film', 'Sony Pictures Animation', 'Sony Pictures Entertainment (SPE)', 'Scholastic Entertainment', 'LStar Capital']","['Australia', 'United States of America']",2015-08-05,158162788,6.2,995,Rob Letterman
Just Like Heaven,58000000,"['Comedy', 'Fantasy', 'Romance']",en,13.43573,"['DreamWorks SKG', 'UIP', 'MacDonald/Parkes Productions']",['United States of America'],2005-09-16,102854431,6.5,579,Mark Waters
The Flintstones in Viva Rock Vegas,83000000,"['Science Fiction', 'Comedy', 'Family', 'Romance']",en,6.248309,"['Universal Pictures', 'Amblin Entertainment']",['United States of America'],2000-04-28,59468275,4.4,134,Brian Levant
Rambo III,63000000,"['Action', 'Adventure', 'Thriller', 'War']",en,31.294717,"['TriStar Pictures', 'Carolco Pictures']",['United States of America'],1988-05-24,189015611,5.7,690,Peter MacDonald
Leatherheads,58000000,"['Comedy', 'Romance', 'Drama']",en,7.739276,"['Universal Pictures', 'Casey Silver Productions', 'Outlaw Productions (I)', 'Smokehouse Pictures']","['Germany', 'United States of America']",2008-03-24,41299492,5.7,130,George Clooney
Did You Hear About the Morgans?,58000000,['Comedy'],en,14.403696,"['Columbia Pictures', 'Castle Rock Entertainment', 'Relativity Media', 'Banter']",['United States of America'],2009-12-17,85280250,5.1,276,Marc Lawrence
The Internship,58000000,['Comedy'],en,1.551497,"['Twentieth Century Fox Film Corporation', 'Regency Enterprises', '21 Laps Entertainment', 'Wild West Picture Show Productions', 'TSG Entertainment']",['United States of America'],2013-06-07,44000000,6.1,1658,Shawn Levy
Resident Evil: Afterlife,60000000,"['Action', 'Adventure', 'Horror', 'Science Fiction']",en,2.143764,"['Impact Pictures', 'Davis-Films', 'Constantin Film Produktion']","['Germany', 'United States of America', 'France', 'Canada']",2010-09-09,300228084,5.8,1363,Paul W.S. Anderson
Red Tails,58000000,"['Drama', 'Action', 'Adventure', 'History', 'War']",en,12.29603,"['Lucasfilm', 'Twentieth Century Fox Film Corporation', 'Partnership Pictures']",['United States of America'],2012-01-19,50365377,5.9,178,Anthony Hemingway
The Devil's Advocate,57000000,"['Drama', 'Horror', 'Mystery', 'Thriller']",en,33.8473,"['Regency Enterprises', 'Monarchy Enterprises B.V.', 'Kopelson Entertainment', 'Warner Bros.', 'New Regency Pictures', 'Taurus Film']","['Germany', 'United States of America']",1997-10-17,152944660,7.2,1374,Taylor Hackford
That's My Boy,70000000,['Comedy'],en,21.723897,"['Columbia Pictures', 'Happy Madison Productions', 'Relativity Media']",['United States of America'],2012-06-14,58058367,5.5,453,Sean Anders
DragonHeart,57000000,['Fantasy'],en,31.791979,['Universal Pictures'],['United States of America'],1996-05-31,115267375,6.4,535,Rob Cohen
After the Sunset,60000000,"['Action', 'Comedy', 'Crime', 'Drama']",en,14.113066,"['New Line Cinema', 'Contrafilm', 'Firm Films']",['United States of America'],2004-11-12,61347797,6.0,226,Brett Ratner
Ghost Rider: Spirit of Vengeance,57000000,"['Action', 'Fantasy', 'Thriller']",en,48.622278,"['Columbia Pictures', 'Imagenation Abu Dhabi FZ', 'Marvel Entertainment', 'Marvel Knights', 'Hyde Park Entertainment', 'Crystal Sky Pictures', 'Michael De Luca Productions']","['United Arab Emirates', 'United States of America']",2011-12-10,149217355,4.7,1135,Brian Taylor
Captain Corelli's Mandolin,57000000,"['Drama', 'History', 'Romance']",en,9.061866,"['Miramax Films', 'Universal Pictures']","['United Kingdom', 'United States of America', 'France']",2001-08-17,62112895,5.5,145,John Madden
The Pacifier,56000000,"['Action', 'Comedy', 'Drama', 'Family', 'Thriller']",en,35.4763,"['Walt Disney Pictures', 'Spyglass Entertainment']","['Canada', 'United States of America']",2005-03-04,113006880,5.8,842,Adam Shankman
Walking Tall,56000000,"['Adventure', 'Drama', 'Action', 'Thriller']",en,23.438398,"['Metro-Goldwyn-Mayer (MGM)', 'Mandeville Films', 'WWE Studios', 'Hyde Park Entertainment', 'Burke/Samples/Foster Productions', 'Cub Eight Productions']",['United States of America'],2004-04-02,57223890,6.0,381,Kevin Bray
Forrest Gump,55000000,"['Comedy', 'Drama', 'Romance']",en,138.133331,['Paramount Pictures'],['United States of America'],1994-07-06,677945399,8.2,7927,Robert Zemeckis
Alvin and the Chipmunks,60000000,"['Comedy', 'Music', 'Family', 'Fantasy', 'Animation']",en,47.336034,"['Dune Entertainment', 'Regency Enterprises', 'Fox 2000 Pictures', 'Bagdasarian Productions']",['United States of America'],2007-12-13,361366633,5.5,1177,Tim Hill
Meet the Parents,55000000,"['Comedy', 'Romance']",en,29.97224,"['DreamWorks SKG', 'Universal Pictures', 'Tribeca Productions', 'Nancy Tenenbaum Films']",['United States of America'],2000-10-06,330444045,6.6,1698,Jay Roach
Pocahontas,55000000,"['Adventure', 'Animation', 'Drama', 'Family']",en,47.845589,"['Walt Disney Pictures', 'Walt Disney Feature Animation']",['United States of America'],1995-06-14,346079773,6.7,1457,Mike Gabriel
Superman,55000000,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",en,48.507081,"['Warner Bros.', 'Dovemead Films', 'Film Export A.G.']","['United Kingdom', 'United States of America']",1978-12-13,300218018,6.9,1022,Richard Donner
The Nutty Professor,54000000,"['Fantasy', 'Comedy', 'Romance', 'Science Fiction']",en,20.28119,"['Imagine Entertainment', 'Universal Pictures']",['United States of America'],1996-06-26,128769345,5.4,702,Tom Shadyac
Hitch,70000000,"['Comedy', 'Drama', 'Romance']",en,34.576913,"['Columbia Pictures Corporation', 'Overbrook Entertainment']",['United States of America'],2005-02-10,368100420,6.4,1665,Andy Tennant
American Wedding,55000000,"['Comedy', 'Romance']",en,36.194802,"['Universal Pictures', 'Zide-Perry Productions', 'LivePlanet', 'Loumolo & Co.']",['United States of America'],2003-08-01,231449203,6.0,1129,Jesse Dylan
Captain Phillips,55000000,"['Action', 'Drama', 'Thriller']",en,52.786917,['Columbia Pictures'],['United States of America'],2013-10-10,95000000,7.6,2454,Paul Greengrass
Date Night,55000000,['Comedy'],en,38.06168,"['Twentieth Century Fox Film Corporation', 'Dune Entertainment', '21 Laps Entertainment']",['United States of America'],2010-04-08,152263880,5.9,1122,Shawn Levy
Casper,50000000,"['Fantasy', 'Comedy', 'Family']",en,19.830132,"['Universal Pictures', 'Amblin Entertainment', 'The Harvey Entertainment Company']",['United States of America'],1995-05-26,287928194,6.0,1019,Brad Silberling
The Equalizer,55000000,"['Thriller', 'Action', 'Crime']",en,79.922059,"['Columbia Pictures', 'Village Roadshow Pictures', 'Escape Artists', 'Mace Neufeld Productions', 'LStar Capital', 'Lonetree Entertainment']",['United States of America'],2014-09-24,192330738,7.1,2954,Antoine Fuqua
Maid in Manhattan,55000000,"['Comedy', 'Drama', 'Romance']",en,19.738215,['Red Om Films'],['United States of America'],2002-12-13,154906693,5.6,485,Wayne Wang
Crimson Tide,53000000,"['Action', 'Thriller', 'Drama']",en,20.334629,"['Hollywood Pictures', 'Don Simpson/Jerry Bruckheimer Films']",['United States of America'],1995-05-12,157387195,7.0,498,Tony Scott
The Pursuit of Happyness,55000000,['Drama'],en,80.581367,"['Columbia Pictures Corporation', 'Escape Artists', 'Relativity Media', 'Overbrook Entertainment']",['United States of America'],2006-12-14,307077295,7.7,2525,Gabriele Muccino
Flightplan,55000000,"['Thriller', 'Drama', 'Mystery']",en,32.05145,"['Imagine Entertainment', 'Touchstone Pictures']",['United States of America'],2005-09-22,223387299,6.1,772,Robert Schwentke
Disclosure,55000000,"['Drama', 'Thriller', 'Crime', 'Mystery', 'Romance']",en,15.064058,"['Warner Bros.', 'Baltimore Pictures']",['United States of America'],1994-12-09,214015089,5.9,210,Barry Levinson
City of Angels,55000000,"['Drama', 'Fantasy', 'Romance']",en,21.272734,"['Atlas Entertainment', 'Regency Enterprises', 'Monarchy Enterprises B.V.', 'Warner Bros.', 'Taurus Film']","['United States of America', 'Germany']",1998-04-10,198685114,6.4,529,Brad Silberling
Kill Bill: Vol. 1,30000000,"['Action', 'Crime']",en,79.754966,"['Miramax Films', 'A Band Apart', 'Super Cool ManChu']",['United States of America'],2003-10-10,180949000,7.7,4949,Quentin Tarantino
Kill Bill: Vol. 2,30000000,"['Action', 'Crime', 'Thriller']",en,50.622607,"['Miramax Films', 'A Band Apart', 'Super Cool ManChu']",['United States of America'],2004-04-16,152159461,7.6,3948,Quentin Tarantino
Tango & Cash,55000000,"['Action', 'Adventure', 'Comedy']",en,22.787667,['Warner Bros.'],['United States of America'],1989-12-22,63408614,6.1,458,Andrei Konchalovsky
Death Becomes Her,55000000,"['Fantasy', 'Comedy']",en,29.498304,['Universal Pictures'],['United States of America'],1992-07-30,149022650,6.3,636,Robert Zemeckis
Shanghai Noon,55000000,"['Adventure', 'Action', 'Comedy', 'Western']",en,25.400935,"['Spyglass Entertainment', 'Roger Birnbaum Productions', 'Touchstone Pictures']","['Hong Kong', 'United States of America']",2000-05-26,56932305,6.2,735,Tom Dey
Executive Decision,55000000,"['Action', 'Adventure', 'Drama', 'Thriller']",en,17.231675,"['Silver Pictures', 'Warner Bros.']",['United States of America'],1996-03-15,121969216,5.8,256,Stuart Baird
Mr. Popper's Penguins,55000000,"['Comedy', 'Family']",en,32.835777,"['Twentieth Century Fox Film Corporation', 'Dune Entertainment', 'Davis Entertainment', 'Dune Entertainment III']",['United States of America'],2011-06-17,187361754,5.7,751,Mark Waters
The Forbidden Kingdom,55000000,"['Action', 'Adventure', 'Fantasy']",en,17.097041,"['Casey Silver Productions', 'China Film Co-Production Corporation', 'Huayi Brothers', 'Relativity Media']","['China', 'United States of America']",2008-04-18,127906624,6.3,461,Rob Minkoff
Free Birds,55000000,"['Animation', 'Comedy', 'Family']",en,14.414937,"['Reel FX Creative Studios', 'Relativity Media']",['United States of America'],2013-10-30,110000000,5.7,254,Jimmy Hayward
AlienÂ³,50000000,"['Science Fiction', 'Action', 'Horror']",en,45.856409,"['Twentieth Century Fox Film Corporation', 'Brandywine Productions']","['United Kingdom', 'United States of America']",1992-05-22,159773545,6.2,1633,David Fincher
Evita,55000000,"['History', 'Drama', 'Music']",en,7.027139,"['Hollywood Pictures', 'Cinergi Pictures Entertainment']","['United States of America', 'Hungary']",1996-12-14,141047179,5.9,120,Alan Parker
Ronin,55000000,"['Action', 'Thriller', 'Crime', 'Adventure']",en,32.657488,"['United Artists', 'FGM Entertainment']","['France', 'United Kingdom', 'United States of America']",1998-09-25,41610884,6.7,658,John Frankenheimer
The Ghost and the Darkness,50000000,['Adventure'],en,12.46525,"['Constellation Films', 'Paramount']","['Germany', 'United States of America']",1996-10-11,75000000,6.4,236,Stephen Hopkins
Paddington,55000000,"['Family', 'Comedy']",en,39.882276,"['The Weinstein Company', 'StudioCanal', 'TF1 Films Production', 'Canal+', 'Heyday Films', 'Ciné+', 'Anton Capital Entertainment (ACE)', 'TF1', 'Amazon Prime Instant Video']",['United Kingdom'],2014-11-27,259207227,7.0,883,Paul King
The Watch,68000000,['Comedy'],en,39.395881,"['Ingenious Film Partners', 'Ingenious Media', 'Twentieth Century Fox Film Corporation', 'Dune Entertainment', '21 Laps Entertainment', 'Dune Entertainment III', 'Big Screen Productions', 'Down Productions']",['United States of America'],2012-07-26,68267862,5.3,881,Akiva Schaffer
The Hunted,55000000,"['Drama', 'Action', 'Thriller', 'Crime']",en,8.634954,"['Lakeshore Entertainment', 'Alphaville Films']",['United States of America'],2003-03-11,34234008,6.0,189,William Friedkin
Stuck on You,55000000,['Comedy'],en,8.802525,"['Twentieth Century Fox Film Corporation', 'Conundrum Entertainment']",['United States of America'],2003-12-10,33828318,5.1,188,Bobby Farrelly
The Pirates! In an Adventure with Scientists!,60000000,"['Animation', 'Adventure', 'Family', 'Comedy']",en,23.700759,"['Columbia Pictures', 'Aardman Animations', 'Sony Pictures Animation']",['United Kingdom'],2012-03-12,118338361,6.4,374,Peter Lord
Changeling,55000000,"['Crime', 'Drama', 'Mystery']",en,27.50916,"['Imagine Entertainment', 'Malpaso Productions', 'Relativity Media']",['United States of America'],2008-01-30,113020255,7.3,1131,Clint Eastwood
Chain Reaction,50000000,"['Action', 'Drama', 'Science Fiction', 'Thriller']",en,20.58862,"['Twentieth Century Fox Film Corporation', 'Chicago Pacific Entertainment', 'Zanuck Company, The']",['United States of America'],1996-08-02,60209334,5.3,284,Andrew Davis
The Fan,55000000,"['Drama', 'Mystery', 'Thriller']",en,4.366488,"['TriStar Pictures', 'Mandalay Entertainment']",['United States of America'],1996-08-15,18626419,5.7,194,Tony Scott
The Phantom of the Opera,70000000,"['Thriller', 'Drama', 'Romance']",en,18.927463,"['Odyssey Entertainment', 'Warner Bros.', 'Scion Films', 'Really Useful Films']","['United Kingdom', 'United States of America']",2004-12-08,154648887,7.0,438,Joel Schumacher
Elizabeth: The Golden Age,55000000,"['Drama', 'History', 'Romance']",en,15.274137,"['Universal Pictures', 'StudioCanal', 'Working Title Films']",['United Kingdom'],2007-09-09,74237563,6.6,303,Shekhar Kapur
Ã†on Flux,62000000,"['Action', 'Science Fiction']",en,29.954302,"['Paramount Pictures', 'Lakeshore Entertainment', 'MTV Films', 'Colossal Pictures', 'Valhalla Motion Pictures', 'MTV Productions']",['United States of America'],2005-11-30,52304001,5.4,703,Karyn Kusama
Gods and Generals,56000000,"['Drama', 'History', 'War']",en,4.362535,"['Warner Bros. Pictures', 'Turner Pictures', 'Antietam Filmworks']",['United States of America'],2003-02-21,12923936,6.1,48,Ronald F. Maxwell
Turbulence,55000000,"['Action', 'Thriller', 'Crime']",en,4.700024,"['Metro-Goldwyn-Mayer (MGM)', 'Rysher Entertainment']",['United States of America'],1997-01-09,11466088,5.2,62,Robert Butler
Muppets Most Wanted,50000000,"['Comedy', 'Adventure', 'Crime', 'Family']",en,14.808304,"['Buena Vista', 'Disney']",['United States of America'],2014-03-20,80383290,6.2,316,James Bobin
Thunderbirds,57000000,"['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Science Fiction']",en,9.27875,"['Studio Canal', 'Working Title Films', 'Tracy Films']","['United Kingdom', 'France']",2004-07-23,28283637,4.2,91,Jonathan Frakes
Burlesque,55000000,"['Drama', 'Romance']",en,22.863516,['Bedford Falls Productions'],['United States of America'],2010-11-23,89519773,6.9,573,Steve Antin
Lolita,2000000,"['Drama', 'Romance']",en,23.962109,"['Seven Arts Productions', 'Allied Artists', 'Transworld Pictures']","['United Kingdom', 'United States of America']",1962-06-13,9250000,7.3,395,Stanley Kubrick
D-Tox,55000000,"['Action', 'Thriller']",en,12.669778,['Universal Pictures'],['United States of America'],2002-01-04,6416302,5.3,123,Jim Gillespie
Blade II,54000000,"['Fantasy', 'Horror', 'Action', 'Thriller']",en,67.169587,"['New Line Cinema', 'Amen Ra Films', 'Milk & Honey', 'Imaginary Forces', 'Justin Pictures', 'Linovo Productions GmbH & Co. KG', 'Pacific Title and Art Studio', 'Marvel Enterprises']","['Germany', 'United States of America']",2002-03-22,155010032,6.2,1528,Guillermo del Toro
Seven Pounds,55000000,['Drama'],en,41.472404,"['Columbia Pictures', 'Escape Artists', 'Relativity Media', 'Overbrook Entertainment']",['United States of America'],2008-12-18,168167691,7.5,2039,Gabriele Muccino
The Godfather: Part III,54000000,"['Crime', 'Drama', 'Thriller']",en,59.194915,['Paramount Pictures'],"['Italy', 'United States of America']",1990-12-24,136766062,7.1,1546,Francis Ford Coppola
Elizabethtown,57000000,"['Comedy', 'Drama', 'Romance']",en,22.894898,"['Paramount Pictures', 'Cruise/Wagner Productions', 'Vinyl Films', 'KMP Film Invest']",['United States of America'],2005-10-06,52034889,6.1,327,Cameron Crowe
"You, Me and Dupree",54000000,"['Comedy', 'Romance']",en,18.600367,"['Universal Pictures', 'Kaplan/Perrone Entertainment', 'MMCB Film Produktion 2004']",['United States of America'],2006-07-14,130431368,5.4,407,Anthony Russo
Superman II,54000000,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",en,30.515175,"['Warner Bros.', 'Dovemead Films', 'Film Export A.G.']","['United Kingdom', 'United States of America']",1980-12-04,190458706,6.5,629,Richard Lester
Gigli,54000000,['Drama'],en,9.053456,"['City Light Films', 'Revolution Studios', 'Casey Silver Productions']",['United States of America'],2003-08-01,7266209,3.5,104,Martin Brest
All the King's Men,55000000,"['Drama', 'Thriller']",en,7.768223,"['Columbia Pictures Corporation', 'Rising Star', 'Relativity Media', 'Phoenix Pictures', 'VIP 4 Medienfonds']",['United States of America'],2006-09-10,9450897,5.7,95,Steven Zaillian
Shaft,46000000,"['Action', 'Adventure', 'Crime', 'Thriller']",en,19.643365,"['Paramount Pictures', 'Scott Rudin Productions']","['Germany', 'United States of America']",2000-06-15,107196498,5.5,308,John Singleton
Anastasia,53000000,"['Animation', 'Family']",en,45.565918,"['Twentieth Century Fox Film Corporation', 'Fox Animation Studios', 'Fox Family Films', 'The Big Gun Project', 'Little Wolf Entertainment']",['United States of America'],1997-11-20,139804348,7.4,1432,Gary Goldman
Moulin Rouge!,52500000,"['Drama', 'Music', 'Romance']",en,57.374341,"['Bazmark Films', 'Twentieth Century Fox Film Corporation']","['Australia', 'United States of America']",2001-03-09,179213434,7.4,1300,Baz Luhrmann
Domestic Disturbance,75000000,"['Mystery', 'Thriller', 'Crime']",en,8.41856,['Paramount Pictures'],['United States of America'],2001-10-30,54249294,5.4,113,Harold Becker
Black Mass,53000000,"['Crime', 'Drama']",en,46.049902,"['Infinitum Nihil', 'Head Gear Films', 'Cross Creek Pictures', 'Free State Pictures', 'RatPac-Dune Entertainment', 'Le Grisbi Productions', 'Vendian Entertainment']","['United Kingdom', 'United States of America']",2015-09-04,98837872,6.3,1242,Scott Cooper
Flags of Our Fathers,90000000,"['War', 'Drama', 'History']",en,23.9366,"['DreamWorks SKG', 'Amblin Entertainment', 'Malpaso Productions', 'Warner Bros.']",['United States of America'],2006-10-18,65900249,6.7,526,Clint Eastwood
